GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2400101-000,001,01-000,637,0,25,37,41,73,103,123,116,64,20,110,421,97,2,4,0,0,0,3,0,569,8,1,2,5,52,569,1,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,479,196,196,344,164,0,0,434,242,242,0,310,129,0,0,374,133,133,247,143
2400102-000,001,02-000,732,0,29,46,57,75,130,127,124,68,24,136,460,125,1,4,1,0,1,4,0,631,1,6,5,4,85,631,6,1,2,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,85,517,244,244,346,187,0,0,474,255,255,0,310,133,0,0,410,142,142,273,173
2400103-000,001,03-000,697,0,23,44,35,87,94,152,137,53,30,127,452,114,3,0,0,0,1,0,0,629,5,2,3,0,58,629,2,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,531,229,229,374,164,0,0,476,230,230,0,287,114,0,0,386,113,113,269,159
2400104-002,001,04-002,733,0,39,55,58,115,125,126,74,48,10,265,273,180,1,3,3,0,0,8,0,586,10,57,2,9,69,586,57,10,0,7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,371,171,171,241,125,0,0,309,143,143,0,162,57,0,0,271,57,57,147,78
2400104-003,001,04-003,1029,0,40,72,93,157,169,145,138,84,35,365,401,239,4,5,3,1,2,9,0,865,21,23,11,11,98,865,23,21,2,3,4,1,3,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,98,566,282,282,397,224,0,0,492,263,263,0,309,112,0,0,448,135,135,283,180
2400104-004,001,04-004,1283,0,51,81,82,179,196,184,215,135,71,462,601,204,6,2,3,0,0,5,0,1113,23,12,7,7,121,1113,12,23,1,1,1,3,0,1,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,121,921,508,508,707,415,0,0,798,441,441,0,564,249,0,0,730,279,279,529,364
2400104-005,001,04-005,746,0,36,40,57,103,125,126,96,80,24,259,284,182,11,4,3,0,0,3,0,669,2,9,6,2,58,669,9,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,58,436,170,170,309,136,0,0,386,184,184,0,229,71,0,0,328,99,99,208,140
2400104-008,001,04-008,1284,0,52,69,85,166,164,217,211,159,68,449,565,242,7,10,1,1,1,8,0,1101,17,29,9,13,115,1101,28,17,2,7,4,2,3,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,115,832,440,440,611,360,0,0,774,410,410,0,507,228,0,0,677,283,283,490,326
2400105-004,001,05-004,1058,0,44,53,78,161,148,185,162,96,44,392,421,227,10,4,0,0,2,2,0,914,12,23,7,7,95,914,23,12,3,2,2,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,95,682,334,334,486,275,0,0,581,300,300,0,379,175,0,0,537,198,198,363,238
2400105-006,001,05-006,524,0,17,33,47,70,75,97,68,48,17,144,265,103,3,3,0,2,0,4,0,461,10,1,3,3,46,461,1,10,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,46,353,151,151,246,121,0,0,308,157,157,0,195,81,0,0,258,85,85,179,119
2400106-001,001,06-001,1166,0,46,90,95,153,143,182,192,90,69,483,433,221,5,11,3,2,1,7,0,958,25,36,16,19,112,958,36,25,2,7,5,3,6,2,1,4,0,0,0,2,0,0,0,0,3,0,0,0,0,112,810,468,468,641,386,0,0,711,427,427,0,483,260,0,0,629,258,258,461,310
2400106-003,001,06-003,745,0,21,41,55,112,111,132,114,70,18,279,317,137,2,5,2,1,0,2,0,632,15,25,14,8,51,632,25,14,3,2,0,4,4,0,0,7,1,0,0,0,1,0,0,0,1,0,0,0,0,51,487,264,264,349,202,0,0,424,243,243,0,271,122,0,0,353,127,127,250,169
2400106-005,001,06-005,977,0,47,62,72,127,142,151,165,88,39,372,399,184,5,4,5,1,2,5,0,803,26,11,30,20,87,803,11,25,9,11,10,7,3,4,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,87,707,414,414,575,351,0,0,631,384,384,0,441,207,0,0,520,223,223,404,283
2400106-006,001,06-006,1326,0,56,65,85,186,192,234,193,142,56,399,676,226,9,8,4,0,0,4,0,1191,15,3,6,6,105,1191,3,15,2,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,105,909,466,466,688,304,0,0,824,409,409,0,512,204,0,0,703,219,219,495,301
2400107-001,001,07-001,1494,0,47,92,100,212,197,281,228,145,51,426,780,258,9,7,2,2,1,9,0,1295,13,7,9,9,161,1295,7,13,1,3,5,2,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,161,1067,491,491,749,316,0,0,935,454,454,0,612,224,0,0,831,251,251,594,367
2400107-002,001,07-002,1572,0,61,90,124,224,257,257,256,120,62,435,873,240,7,3,2,0,2,10,0,1374,12,5,29,19,133,1374,5,12,6,12,5,2,1,10,0,5,0,0,1,3,0,0,0,0,1,0,0,0,0,133,1158,576,576,841,428,0,0,1037,520,520,0,687,256,0,0,905,275,275,684,387
2400108-000,001,08-000,2054,0,64,113,157,290,285,370,312,194,92,472,1191,362,12,6,2,2,0,7,0,1840,25,6,8,6,169,1840,6,25,4,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,1320,567,567,933,439,0,0,1216,622,622,0,752,311,0,0,1086,312,312,708,398
2400109-000,001,09-000,785,0,27,44,42,123,114,133,120,83,35,136,512,126,2,5,0,0,0,4,0,741,7,1,1,7,28,741,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,28,513,198,198,355,179,0,0,479,218,218,0,293,126,0,0,422,125,125,294,193
2400110-000,001,10-000,1249,0,56,86,80,155,218,212,161,130,54,192,868,181,4,3,0,0,0,1,0,1148,7,2,3,7,82,1148,2,7,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,809,416,416,606,380,0,0,767,423,423,0,506,247,0,0,666,264,264,502,382
2400111-000,001,11-000,785,0,28,47,51,107,110,124,142,91,36,292,346,137,4,1,3,0,0,2,0,683,6,5,15,3,73,683,5,6,8,1,3,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,73,572,317,317,452,233,0,0,540,295,295,0,362,176,0,0,458,159,159,358,239
2400112-000,001,12-000,2079,0,112,152,178,301,277,339,292,157,71,660,988,380,11,21,5,2,3,9,0,1813,21,26,40,14,165,1813,26,21,11,4,8,9,2,8,1,3,0,0,2,0,0,0,0,0,3,0,0,0,0,165,1477,762,762,1066,521,0,0,1240,652,652,0,806,349,0,0,1076,348,348,779,476
2400113-000,001,13-000,1468,1,54,84,108,198,242,273,219,139,47,320,874,266,3,1,1,1,0,2,0,1319,7,2,7,13,120,1319,2,6,2,2,1,3,8,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,120,963,443,443,687,293,0,0,877,424,424,0,572,207,0,0,747,219,219,552,338
2400114-000,001,14-000,502,0,7,33,37,57,62,98,65,59,22,224,140,119,2,9,3,1,1,3,0,414,15,19,5,11,38,414,19,15,1,5,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,38,262,123,123,183,113,0,0,238,108,108,0,134,57,0,0,206,69,69,137,77
2400116-000,001,16-000,1434,0,53,72,95,176,228,288,239,155,40,326,842,233,12,6,6,0,1,8,0,1274,12,4,4,6,134,1274,4,12,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,134,1061,488,488,728,359,0,0,961,475,475,0,610,228,0,0,840,268,268,578,346
2400118-000,001,18-000,1306,0,51,80,87,182,226,228,176,119,35,236,899,166,1,1,0,1,0,2,0,1179,8,4,5,7,103,1179,4,8,3,2,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,103,950,445,445,689,408,0,0,855,454,454,0,602,270,0,0,736,252,252,542,390
2400120-000,001,20-000,1259,2,53,73,86,147,200,211,187,159,38,254,785,202,5,1,4,0,0,8,0,1109,11,4,5,8,122,1109,3,11,1,4,2,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,122,869,395,395,658,292,0,0,830,422,422,0,513,195,0,0,723,253,253,489,298
2400121-000,001,21-000,784,0,32,47,44,114,120,164,121,61,32,150,486,139,2,3,1,0,0,3,0,702,3,6,2,5,66,702,5,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,66,613,242,242,419,180,0,0,522,286,286,0,369,135,0,0,455,167,167,340,184
2400122-001,001,22-001,1439,0,57,97,87,188,204,230,265,135,61,468,627,304,9,14,5,1,0,11,0,1202,25,69,13,13,117,1202,68,24,2,9,1,6,0,3,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,117,927,435,435,651,367,0,0,813,395,395,0,505,216,0,0,724,252,252,497,301
2400122-002,001,22-002,115,0,8,3,7,17,14,17,26,14,2,33,63,18,0,1,0,0,0,0,0,95,0,0,3,2,15,95,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,90,44,44,68,29,0,0,83,48,48,0,58,27,0,0,76,29,29,53,28
2400123-000,001,23-000,1843,0,66,135,142,257,266,259,309,176,72,671,783,357,8,10,5,1,1,7,0,1523,38,72,20,15,175,1523,72,37,4,2,4,2,8,5,1,5,1,2,0,0,1,0,1,0,0,0,0,0,0,175,1159,594,594,895,545,0,0,1024,571,571,0,706,284,0,0,936,333,333,652,413
2400124-000,001,24-000,1217,0,50,66,78,183,170,206,168,157,57,275,735,188,5,4,4,0,0,6,0,1076,8,5,11,12,105,1076,5,8,2,5,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,841,444,444,622,310,0,0,768,406,406,0,523,199,0,0,726,245,245,510,337
2400126-000,001,26-000,2034,0,177,143,151,285,275,281,272,153,57,730,831,424,9,17,6,2,2,13,0,1625,49,101,31,23,205,1625,101,49,15,12,3,5,6,3,2,3,0,1,0,0,0,0,1,0,0,2,0,0,0,205,1438,751,751,1035,549,0,0,1147,633,633,0,740,331,0,0,976,317,317,707,456
2400129-001,001,29-001,1750,0,73,95,117,211,247,319,288,178,61,494,925,313,4,5,1,1,0,7,0,1524,16,11,17,16,166,1524,10,16,4,4,5,5,1,3,1,0,3,0,0,0,0,0,3,1,1,0,0,1,0,166,1332,704,704,1038,511,0,0,1170,705,705,0,818,355,0,0,1029,358,358,764,474
2400129-002,001,29-002,1539,0,39,86,104,218,192,257,299,169,70,449,847,225,6,8,0,1,0,3,0,1308,23,11,25,17,155,1308,11,23,3,6,11,6,6,3,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,155,1193,647,647,971,498,0,0,1091,612,612,0,762,337,0,0,990,366,366,752,474
2400129-003,001,29-003,1162,0,37,79,62,136,198,195,200,118,59,332,632,180,3,8,1,0,0,6,0,1024,15,5,6,9,103,1024,4,15,1,1,2,0,0,2,0,0,0,0,0,0,0,0,5,1,2,0,1,0,0,103,850,444,444,641,330,0,0,760,450,450,0,534,222,0,0,679,271,271,520,329
2400131-000,001,31-000,1103,1,41,72,70,151,157,210,172,116,49,253,656,180,7,3,0,2,0,2,0,975,13,2,8,13,92,975,2,13,2,9,3,1,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,92,768,316,316,537,228,0,0,688,361,361,0,425,131,0,0,623,200,200,411,219
2400134-000,001,34-000,1278,0,57,96,77,152,184,214,208,152,57,357,692,211,6,3,1,1,0,7,0,1129,7,4,9,19,110,1129,4,7,2,1,0,2,4,1,0,3,0,1,0,0,0,0,11,0,1,0,1,0,0,110,969,459,459,738,369,0,0,876,486,486,0,602,249,0,0,768,286,286,584,385
2400301-001,003,01-001,1656,0,40,89,107,273,225,283,269,169,61,624,667,340,6,4,2,0,0,13,0,1311,63,31,35,28,188,1311,31,62,9,9,17,5,7,0,0,2,0,0,0,6,1,0,3,0,0,0,0,2,0,188,1331,513,513,1007,328,0,0,1118,619,619,0,808,331,0,0,998,243,243,809,349
2400301-002,003,01-002,1434,0,46,94,130,221,208,316,179,97,42,508,604,307,2,7,0,0,0,6,0,1126,40,23,29,43,173,1126,23,38,11,25,6,8,5,0,0,2,1,4,1,3,2,2,1,0,0,1,0,1,1,173,1120,465,465,888,304,0,0,981,518,518,0,696,277,0,0,854,215,215,697,316
2400301-003,003,01-003,2040,1,76,154,165,311,294,394,274,155,59,825,740,450,1,10,1,1,1,11,0,1574,98,139,39,23,167,1574,138,97,11,12,3,16,7,6,0,3,2,0,0,0,1,0,2,1,0,0,0,0,0,167,1425,547,547,968,272,0,0,1190,528,528,0,790,251,0,0,1044,210,210,813,350
2400301-004,003,01-004,1979,0,49,128,162,298,257,364,304,183,62,1121,461,372,5,9,3,0,0,8,0,970,84,718,37,40,130,970,718,84,12,21,9,7,3,4,2,0,3,7,1,0,0,2,1,0,0,1,0,0,0,130,1381,603,603,925,299,0,0,1150,536,536,0,726,281,0,0,1064,197,197,770,288
2400301-005,003,01-005,1713,0,59,112,125,273,278,331,251,97,26,867,425,391,3,8,5,0,0,14,0,847,100,387,147,69,163,847,385,97,50,46,41,26,4,20,1,5,2,7,1,0,3,6,2,2,0,1,1,0,2,163,1287,541,541,919,287,0,0,1049,469,469,0,633,257,0,0,895,199,199,695,269
2400301-006,003,01-006,2638,0,102,220,233,418,424,469,292,128,34,1512,500,594,4,7,5,4,1,11,0,1151,195,870,175,67,180,1151,863,193,48,30,50,49,8,17,7,7,4,8,5,1,2,1,2,7,0,0,1,0,0,180,1916,810,810,1305,407,0,0,1451,661,661,0,864,297,0,0,1292,227,227,917,345
2400301-007,003,01-007,1512,0,48,112,133,253,235,279,178,90,50,534,570,386,0,7,3,1,1,10,0,1178,84,28,30,26,166,1178,28,83,9,16,5,3,3,10,0,0,2,0,1,1,1,0,2,0,0,0,0,0,0,166,1076,350,350,746,190,0,0,887,378,378,0,556,200,0,0,762,132,132,577,198
2400301-008,003,01-008,2127,0,76,134,162,363,318,392,295,155,76,809,807,477,5,13,1,2,0,13,0,1695,85,82,36,52,177,1695,82,84,9,22,9,6,18,8,2,2,0,2,4,0,1,0,2,0,0,0,0,0,1,177,1538,576,576,1087,305,0,0,1276,611,611,0,867,323,0,0,1136,240,240,885,338
2400301-009,003,01-009,1873,0,59,131,178,241,308,359,241,137,53,684,754,411,3,9,2,2,0,8,0,1442,84,71,50,48,178,1442,71,84,19,19,18,5,8,3,3,2,3,2,3,1,0,1,0,0,4,1,1,0,0,178,1436,498,498,975,252,0,0,1174,532,532,0,757,271,0,0,1011,197,197,796,300
2400301-010,003,01-010,1367,0,43,82,121,221,208,226,188,117,54,523,538,286,6,6,1,3,0,4,0,1113,33,13,29,38,141,1113,13,33,14,12,10,2,3,1,1,1,2,5,11,1,0,0,1,0,1,0,1,0,0,141,1097,462,462,857,257,0,0,945,507,507,0,640,279,0,0,820,207,207,680,284
2400301-011,003,01-011,1547,0,61,146,154,237,218,250,155,77,55,639,533,355,3,5,2,0,0,10,0,1107,82,85,65,24,184,1107,84,78,24,7,21,13,3,3,2,2,1,2,2,2,4,0,1,1,4,1,0,0,1,184,1193,429,429,843,237,0,0,949,457,457,0,609,261,0,0,783,161,161,596,231
2400301-012,003,01-012,2798,0,133,311,348,494,412,365,247,101,24,1748,413,583,4,9,5,4,2,30,0,1008,188,1293,85,57,167,1008,1286,183,19,34,26,23,6,8,2,5,4,4,1,0,5,2,0,7,0,0,1,3,1,167,1721,604,604,1031,245,1,0,1372,485,485,0,625,171,0,0,1179,134,134,674,183
2400301-013,003,01-013,1136,0,36,88,116,244,162,177,103,56,20,522,272,313,1,7,5,1,1,14,0,716,87,188,9,21,115,716,188,85,0,7,5,2,7,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,115,616,207,207,396,84,0,0,512,194,194,0,287,81,0,0,463,74,74,303,103
2400301-014,003,01-014,1856,0,66,128,155,239,289,338,251,155,72,795,648,384,3,10,4,0,0,12,0,1300,114,199,33,33,177,1300,199,114,8,24,13,3,2,5,0,3,1,1,0,1,0,0,0,0,1,0,0,2,0,177,1303,487,487,898,228,0,0,1098,520,520,0,682,259,0,0,958,188,188,732,281
2400301-015,003,01-015,2116,0,57,204,199,330,280,351,266,124,56,1034,598,453,7,8,4,1,0,11,0,1463,116,262,28,41,206,1463,260,115,9,18,7,5,15,3,1,1,2,0,1,0,1,0,2,2,0,1,1,2,0,206,1433,563,563,1020,297,0,0,1186,584,584,0,730,311,0,0,1009,195,195,753,331
2400301-016,003,01-016,1925,0,62,126,160,348,285,346,237,100,49,926,526,434,4,11,2,5,2,15,0,1291,144,275,17,36,162,1291,273,143,7,20,6,1,4,2,1,1,6,4,1,0,1,0,0,2,0,0,0,0,0,162,1125,426,426,760,188,0,0,955,427,427,0,542,205,0,0,865,115,115,595,226
2400301-017,003,01-017,1446,0,54,103,140,265,222,265,133,72,24,675,394,346,3,9,4,1,0,14,0,953,110,213,14,30,126,953,212,110,6,12,2,2,9,0,0,3,3,0,0,2,0,2,1,1,0,0,0,0,1,126,859,305,305,567,156,0,0,712,310,310,0,412,155,0,0,626,84,84,442,150
2400301-018,003,01-018,2825,0,97,222,260,440,421,495,376,183,94,1551,649,577,5,14,3,6,1,19,0,1468,150,931,62,44,170,1468,928,149,20,16,11,18,10,10,0,0,11,1,1,2,1,1,1,3,1,2,1,0,0,170,1969,823,823,1303,386,0,0,1623,743,743,0,943,382,0,0,1438,297,297,1023,377
2400301-019,003,01-019,2301,0,109,201,182,383,377,440,267,96,15,1301,414,557,3,7,4,3,0,12,0,811,182,966,125,53,164,811,962,181,33,20,22,35,4,21,5,6,9,2,2,0,1,7,0,4,1,1,1,0,2,164,1767,796,796,1258,354,0,0,1394,633,633,0,775,260,0,0,1219,219,219,884,321
2400301-020,003,01-020,2393,0,112,161,198,347,335,445,319,231,45,1287,542,518,7,20,2,2,1,14,0,1055,211,787,134,50,156,1055,780,211,41,31,26,28,7,22,3,16,4,1,1,0,0,1,0,7,0,0,1,0,0,156,1846,909,909,1371,481,0,0,1496,713,713,0,946,396,0,0,1352,325,325,1040,408
2400301-021,003,01-021,2493,1,119,219,250,482,452,408,166,56,20,1675,276,508,4,13,6,2,2,7,0,571,133,1448,136,73,132,571,1441,130,38,45,30,50,4,7,3,7,3,8,0,0,3,3,3,7,0,1,1,0,1,132,1801,787,787,1204,354,0,0,1364,563,563,0,670,230,0,0,1161,168,168,708,214
2400301-022,003,01-022,6837,2,243,621,765,1291,1237,979,518,187,34,3914,1086,1743,7,30,11,4,3,39,0,2831,513,1862,807,271,553,2831,1839,507,226,179,210,269,32,71,9,13,12,14,1,5,6,9,3,23,1,6,3,3,1,553,5200,1941,1941,3149,745,0,0,3550,1365,1365,0,1639,492,0,0,2795,303,303,1670,432
2400301-023,003,01-023,1119,0,40,110,160,233,173,140,47,18,9,654,179,262,1,10,0,0,1,12,0,495,82,257,128,37,120,495,249,81,42,17,17,46,6,16,4,3,3,3,1,0,1,0,0,8,0,1,1,1,2,120,860,348,348,531,150,0,0,537,227,227,0,251,75,0,0,392,46,46,218,73
2400301-024,003,01-024,1444,0,49,91,157,244,244,279,157,74,8,802,265,359,2,10,1,2,0,3,0,610,132,494,82,41,85,610,494,132,24,27,14,23,4,9,0,8,1,3,0,2,0,0,0,0,0,0,2,3,0,85,1127,475,475,788,234,0,0,895,413,413,0,499,175,0,0,788,131,131,579,184
2400301-025,003,01-025,1418,0,56,82,113,228,247,290,181,77,37,588,448,367,0,5,4,0,1,5,0,1005,91,94,72,37,119,1005,92,91,17,27,32,15,2,5,2,2,3,0,1,0,0,0,1,2,0,0,0,0,0,119,1076,399,399,766,202,0,0,901,400,400,0,524,186,0,0,773,137,137,578,190
2400301-026,003,01-026,3636,2,171,304,408,715,614,533,252,93,23,2518,347,712,3,19,8,1,1,27,0,596,228,2536,91,70,115,596,2528,227,22,46,26,18,8,16,2,4,3,6,0,0,1,1,0,8,1,0,4,0,0,115,2348,914,914,1486,390,0,0,1764,663,663,0,807,275,0,0,1525,184,184,857,230
2400302-001,003,02-001,1939,0,67,111,164,312,300,338,273,149,49,830,607,479,4,9,2,0,0,8,0,1293,105,214,87,33,207,1293,213,103,23,18,21,35,5,4,0,1,3,1,0,0,2,0,3,1,0,1,1,2,0,207,1517,624,624,1076,322,0,0,1208,528,528,0,782,248,0,0,1048,209,209,812,290
2400302-002,003,02-002,1577,0,68,96,111,243,239,262,217,153,44,759,488,307,8,2,3,2,1,7,0,1039,84,240,37,20,157,1039,240,84,7,7,14,7,6,6,1,2,0,1,0,0,0,2,0,0,2,0,0,0,0,157,1168,504,504,826,267,0,0,986,467,467,0,637,260,0,0,882,228,228,672,280
2400302-003,003,02-003,1740,0,72,138,154,297,246,286,229,96,73,767,543,392,2,10,6,2,0,18,0,1261,128,119,44,30,158,1261,118,127,6,7,8,12,9,13,2,1,6,1,0,1,1,1,1,1,0,2,1,1,0,158,1215,507,507,857,288,0,0,1025,524,524,0,642,246,0,0,902,224,224,682,273
2400302-004,003,02-004,2416,0,90,145,162,304,372,486,374,189,72,1124,750,510,1,13,5,1,0,12,0,1396,109,598,85,37,191,1396,597,109,17,17,18,12,4,17,2,10,4,3,0,2,0,2,0,1,0,6,2,3,0,191,1904,843,843,1397,441,0,0,1529,765,765,0,1039,413,0,0,1374,331,331,1134,435
2400302-005,003,02-005,2253,0,81,213,269,359,326,379,224,106,36,1195,526,496,4,10,4,2,0,16,0,1240,142,624,41,53,153,1240,622,138,7,31,10,13,5,5,1,0,6,3,0,4,4,0,3,2,0,1,2,0,0,153,1436,550,550,1003,223,0,0,1193,499,499,0,638,250,0,0,1046,173,173,657,231
2400302-006,003,02-006,1676,1,66,136,133,278,261,296,200,90,37,713,586,344,6,8,4,3,0,12,0,1184,103,126,50,47,166,1184,126,101,11,15,17,2,9,16,0,2,9,7,2,0,2,3,1,0,0,1,0,1,1,166,1144,417,417,729,202,0,0,956,400,400,0,586,220,0,0,831,186,186,620,245
2400302-007,003,02-007,2712,1,90,213,232,523,442,454,331,119,38,1282,807,585,8,12,1,2,0,15,0,1700,176,488,74,77,197,1700,484,175,22,55,22,18,5,9,4,3,4,2,2,1,1,0,3,4,0,0,0,0,0,197,1931,768,768,1337,392,0,0,1567,689,689,0,951,323,0,0,1338,274,274,947,380
2400302-008,003,02-008,2577,0,93,192,229,377,391,499,322,159,83,1000,933,590,10,16,4,4,0,20,0,1938,152,175,45,33,234,1938,173,151,11,13,7,5,4,13,4,4,3,3,0,2,1,2,0,2,0,1,4,1,0,234,1708,666,666,1162,300,0,0,1431,675,675,0,911,315,0,0,1250,239,239,904,359
2400302-009,003,02-009,2216,0,83,187,198,372,317,362,277,143,35,1212,502,467,2,12,4,1,0,16,0,1087,123,720,97,58,131,1087,718,123,26,21,47,14,12,6,3,2,4,11,1,0,0,0,1,2,0,0,0,1,0,131,1533,676,676,1078,330,0,0,1279,564,564,0,783,301,0,0,1125,242,242,783,312
2400302-010,003,02-010,2412,0,88,166,229,386,362,480,261,143,57,970,862,547,3,14,4,2,0,10,0,1815,100,170,25,44,258,1815,168,99,8,20,8,2,7,2,2,2,2,2,4,1,1,2,1,2,1,0,2,1,0,258,1712,627,627,1128,299,0,0,1395,597,597,0,838,267,0,0,1179,211,211,831,295
2400302-011,003,02-011,1375,0,54,87,127,250,179,243,157,101,31,561,446,349,2,7,2,1,0,7,0,1002,115,91,14,26,127,1002,91,113,4,14,6,1,6,2,4,0,1,0,0,0,2,1,0,0,0,0,0,0,1,127,934,293,293,588,153,0,0,752,317,317,0,453,160,0,0,658,104,104,466,166
2400302-012,003,02-012,1592,0,59,120,145,257,239,320,179,100,38,625,534,397,5,8,3,0,1,19,0,1220,120,74,20,27,131,1220,74,119,5,10,5,5,11,4,0,0,4,0,0,0,1,2,0,0,0,0,1,0,0,131,1068,378,378,711,199,0,0,873,387,387,0,537,173,0,0,724,143,143,534,218
2400302-013,003,02-013,1748,0,63,130,172,278,259,308,257,122,34,669,666,390,2,13,0,2,0,6,0,1302,98,129,27,24,168,1302,129,98,6,11,8,4,3,3,1,6,1,4,0,2,0,0,2,0,0,0,0,0,0,168,1381,521,521,997,257,1,0,1109,491,491,0,677,260,0,0,960,190,190,699,263
2400302-014,003,02-014,2955,0,127,324,352,537,406,480,297,102,22,1967,386,548,7,7,8,4,1,27,0,883,149,1690,54,35,144,883,1681,148,14,17,17,7,3,10,1,4,1,4,1,2,1,4,0,9,0,0,1,1,0,144,1801,758,758,1153,298,0,0,1514,628,628,0,733,273,0,0,1408,240,240,767,246
2400302-015,003,02-015,2289,0,130,180,213,442,403,364,240,111,27,1275,536,448,3,8,7,1,1,10,0,1100,113,779,58,74,165,1100,777,112,8,43,6,34,12,5,0,4,5,6,1,0,1,4,2,2,0,0,0,0,1,165,1641,753,753,1192,325,4,0,1376,656,656,0,794,266,0,0,1237,244,244,810,293
2400302-016,003,02-016,1450,0,59,99,140,228,202,282,186,98,37,567,515,346,2,6,1,2,0,11,0,1077,82,78,42,37,134,1077,78,81,11,9,4,14,6,9,0,4,1,3,5,11,1,0,1,0,0,0,0,1,0,134,954,396,396,684,212,0,0,799,378,378,0,496,212,0,0,717,174,174,526,233
2400302-017,003,02-017,2742,0,116,265,306,527,382,378,261,138,54,1723,446,539,4,7,1,3,1,18,0,1143,170,1106,72,56,195,1143,1102,170,11,35,20,25,9,10,1,2,2,7,0,0,0,0,1,4,0,1,0,1,1,195,1794,715,715,1131,270,0,0,1421,570,570,0,725,255,0,0,1323,188,188,741,232
2400302-018,003,02-018,1646,0,79,169,178,280,300,239,159,76,10,859,386,374,5,9,4,0,1,8,0,880,96,453,37,39,141,880,452,95,18,20,6,4,2,4,2,3,4,1,1,0,1,3,0,1,4,0,0,0,2,141,1158,476,476,834,226,0,0,949,444,444,0,538,181,0,0,819,136,136,528,199
2400302-019,003,02-019,2322,1,90,211,177,358,304,411,291,135,46,1259,531,498,4,9,3,2,0,16,0,1205,176,639,58,55,189,1205,635,175,17,41,12,17,7,9,1,1,1,2,0,0,1,0,2,4,0,1,1,0,0,189,1462,594,594,908,242,0,0,1174,532,532,0,620,226,0,0,1009,182,182,666,240
2400302-020,003,02-020,2173,0,102,196,193,303,386,395,254,98,34,941,706,487,2,16,3,2,2,14,0,1492,121,208,102,70,180,1492,208,118,21,39,24,35,8,13,2,4,8,6,1,0,3,2,1,0,1,0,1,0,0,180,1661,662,662,1141,307,0,0,1321,583,583,0,777,265,0,0,1119,224,224,825,277
2400302-021,003,02-021,3106,0,140,183,204,471,580,605,412,189,60,1129,1218,720,4,17,3,4,0,11,0,2225,138,233,156,80,274,2225,232,135,40,45,41,36,11,25,2,8,10,1,1,2,3,3,4,1,0,0,0,0,3,274,2492,987,987,1810,495,0,0,1993,943,943,0,1320,489,0,0,1770,368,368,1357,532
