GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2402116-001,021,16-001,3401,0,182,232,238,479,570,714,419,224,75,968,1622,782,4,12,4,1,1,7,0,2856,102,17,43,49,334,2856,17,99,15,13,6,10,18,7,1,1,3,1,1,4,3,0,4,0,0,2,0,0,0,334,2700,1025,1025,2069,662,0,0,2338,1196,1196,0,1551,666,0,0,2015,570,570,1347,593
2402117-001,021,17-001,1591,0,82,100,147,202,212,314,259,121,39,353,877,340,5,7,1,2,0,6,0,1341,33,4,14,12,187,1341,4,29,8,4,0,1,6,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,187,1240,489,489,950,345,0,0,1079,578,578,0,760,348,0,0,952,268,268,667,324
2402118-001,021,18-001,3274,0,202,299,237,497,549,765,315,112,37,959,1497,785,4,13,1,1,1,13,0,2662,130,50,45,54,333,2662,50,126,16,21,13,6,15,8,0,1,1,0,7,2,4,0,5,0,0,0,0,3,0,333,2552,1001,1001,1932,526,0,0,2266,1091,1091,0,1379,498,0,0,1928,428,428,1228,409
2402118-002,021,18-002,2684,0,114,167,175,434,390,567,394,181,51,615,1448,586,0,11,5,4,2,13,0,2279,49,17,15,43,281,2279,17,49,5,19,4,4,11,0,3,2,0,2,1,0,0,1,1,0,5,0,0,0,0,281,2107,732,732,1611,456,0,0,1867,929,929,0,1246,462,0,0,1658,452,452,1086,439
2402118-003,021,18-003,1654,0,88,132,126,217,276,380,172,95,29,493,783,364,1,6,1,0,0,6,0,1283,43,15,29,54,230,1283,15,42,13,27,9,3,9,4,1,0,0,2,0,0,1,5,0,0,2,0,0,5,0,230,1335,551,551,1003,277,0,0,1164,568,568,0,739,275,0,0,1011,236,236,653,222
2402119-001,021,19-001,1391,0,69,100,92,158,239,309,182,84,35,263,812,297,4,9,0,2,0,4,0,1184,34,3,10,10,150,1184,3,32,5,2,0,2,4,2,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,150,1097,372,372,812,239,0,0,949,462,462,0,628,230,0,0,818,222,222,555,239
2402120-001,021,20-001,2556,0,111,177,209,293,402,499,382,209,67,709,1283,530,5,14,6,3,2,4,0,2084,88,18,33,37,296,2084,18,87,10,13,6,4,12,4,0,3,2,0,3,1,1,1,0,0,2,3,1,2,0,296,2014,782,782,1490,503,0,0,1683,853,853,0,1139,595,0,0,1452,488,488,984,543
2402121-001,021,21-001,1898,0,74,100,120,218,252,368,337,205,89,590,882,402,4,13,5,0,0,2,0,1514,81,15,61,32,195,1514,14,78,13,16,25,10,5,10,1,0,2,0,5,1,3,0,0,1,0,1,0,0,0,195,1483,703,703,1215,469,0,0,1321,738,738,0,924,497,0,0,1165,390,390,874,428
2402121-002,021,21-002,1905,0,78,170,163,327,280,317,253,87,51,886,553,441,1,9,4,1,0,10,0,1316,132,122,80,53,202,1316,121,129,33,21,33,4,13,4,2,4,1,0,7,1,3,1,0,1,1,0,1,1,0,202,1498,664,664,1159,421,0,0,1257,661,661,0,754,311,0,0,1050,297,297,622,268
2402121-003,021,21-003,1478,0,67,114,91,171,180,318,262,114,46,594,540,328,2,11,1,0,1,1,0,1093,74,20,75,27,189,1093,20,73,41,22,18,11,1,2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,189,1240,636,636,979,410,0,0,1043,603,603,0,755,355,0,0,931,309,309,659,297
